,Degree Centrality,Degree Centrality,Degree Centrality,Betweenness Centrality,Betweenness Centrality,Betweenness Centrality,Closeness Centrality,Closeness Centrality,Closeness Centrality,Eigenvector Centrality,Eigenvector Centrality,Eigenvector Centrality,Clustering Coefficient,Clustering Coefficient,Clustering Coefficient
,mean,median,max,mean,median,max,mean,median,max,mean,median,max,mean,median,max
era,,,,,,,,,,,,,,,
Bronze Age,0.1637,0.1227,0.6748,0.0015,0.0003,0.0355,0.5319,0.5254,0.7546,0.041,0.0327,0.1312,0.7308,0.7541,0.9762
Modern Age,0.124,0.0951,0.3712,0.0005,0.0001,0.0047,0.5052,0.4977,0.6139,0.0313,0.0261,0.0903,0.7889,0.803,1.0
Silver Age,0.2324,0.1549,0.6687,0.0045,0.0008,0.0618,0.5641,0.5402,0.7512,0.0542,0.0427,0.1272,0.6411,0.6616,1.0
before 1961,0.3,0.1242,0.7914,0.0101,0.0005,0.0671,0.5956,0.5314,0.8274,0.067,0.04,0.1394,0.6235,0.6966,0.9458
